smiles,mw,logp,nrot,nhacc,nhdon
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,612.6500000000003,-0.08557999999999927,9,12,5
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1,515.5970000000002,0.29080000000000206,7,9,3
COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(=NOC)c3csc(N)n3)[C@H]2SC1,427.4640000000001,-0.539199999999999,7,10,3
COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,557.6070000000001,0.8270000000000015,10,14,2
COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)C(=NOC)c3csc(N)n3)[C@H]2SC1,557.6070000000001,0.8270000000000015,10,14,2
CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,389.4330000000001,0.7067000000000008,5,6,4
COC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,365.4110000000001,-0.06739999999999902,5,6,3
NC(=O)c1cc[n+](CC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)C(c4ccccc4)S(=O)(=O)O)[C@H]3SC2)cc1,533.5640000000002,-0.5592999999999972,8,7,4
CCON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,685.7080000000002,1.2197000000000002,11,13,5
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,546.5870000000002,-1.2991999999999946,9,11,3
O=C(Cn1cnnn1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CS[C@H]12,440.49200000000013,-0.9444999999999995,7,12,2
Nc1nc(C(=CCC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,410.4330000000001,-0.0481999999999998,6,8,4
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,383.41100000000006,-0.5557999999999992,5,9,3
Nc1nc(C(=NO)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(C=C4CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,534.5800000000003,-1.4421999999999964,6,12,5
Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CCC(=CC3=C(C(=O)O)N4C(=O)[C@@H](NC(=O)C(=NO)c5nsc(N)n5)[C@H]4SC3)C2=O)C1,690.6729999999999,-0.5383799999999959,8,16,4
Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(=NOC(C)(C)C(=O)O)c3nsc(N)n3)[C@H]2SC1,667.7109999999999,-2.568599999999991,12,15,8
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,554.592,-1.6112999999999973,8,14,4
