smiles,inchikey
Nc1nc(C(=NO)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(C=C4CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,VOAZJEPQLGBXGO-AJLCLMPTSA-N
Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CCC(=CC3=C(C(=O)O)N4C(=O)[C@@H](NC(=O)C(=NO)c5nsc(N)n5)[C@H]4SC3)C2=O)C1,HFTSMHTWUFCYMJ-GGRMYQCBSA-N
Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(=NOC(C)(C)C(=O)O)c3nsc(N)n3)[C@H]2SC1,JHFNIHVVXRKLEF-KZULUSFZSA-O
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,VAAUVRVFOQPIGI-RFAUZJTJSA-N
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,JFPVXVDWJQMJEE-QMTHXVAHSA-N
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,KEJCWVGMRLCZQQ-OBEQYXGQSA-N
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,ZAIPMKNFIOOWCQ-UHFFFAOYSA-N
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,FUBBGQLTSCSAON-PBFPGSCMSA-N
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,XIURVHNZVLADCM-UHFFFAOYSA-N
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)C2SC1,RDLPVSKMFDYCOR-MHSSMOFYSA-N
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@@]21C,PENDGIOBPJLVBT-AMXFZXBBSA-N
CC(=O)C1C(=O)[C@H](N)[C@@H]2Cc3c(c(O)c4c(O)c(C)ccc4c3C)C(=O)[C@]2(O)C1=O,HRSRDAQHJOGYEX-JOFIZWHESA-N
CCCCCCCCCCCCCCCC[N+](C)(C)C,RLGQACBPNDBWTB-UHFFFAOYSA-N
CCCCCCCCCCCCCCCC[n+]1ccccc1,NEUSVAOJNUQRTM-UHFFFAOYSA-N
CCOC(=O)[C@@H]1CC(=O)O[C@H](C)C/C=C/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@H]1OC,NGNBWGMTPDSDCJ-QDFUUMMMSA-N
CC[C@H](C)C(=O)O[C@@H](C)[C@@]1(O)[C@H](C)O[C@@H](O[C@H]2[C@@H](O)[C@H]([C@@]3(O)CC(=O)C(N)=C(C(=O)O)C3=O)O[C@H](COC(C)=O)[C@H]2OC(=O)C(CC(C)SC[C@H](NC(C)=O)C(=O)O)NC(=S)SC[C@H](NC(C)=O)C(=O)O)C[C@@H]1OC,NTRRYQMDNVLDQZ-SPVCFFFXSA-N
CCCCc1ccc(CN2CCN(Cc3c(O)cc4c(c3O)-c3cc(ccc3O)C3NC(=O)C5NC(=O)C6NC(=O)C(Cc7ccc(c(Cl)c7)Oc7cc5cc(c7O)Oc5ccc(cc5Cl)C(O)C(NC3=O)C(=O)N[C@H]4C(=O)NC)NC(=O)C(N)c3ccc(O)c(c3)Oc3cc(O)cc6c3)CC2)cc1,BIKDXUOWNCLODJ-UABOENRUSA-N
